726 images
  [GRAPH] 1410 branches traced, 848/848 nodes assigned, 0 orphans, 1424 edges, 13 components
  [GRAPH] 16 branches traced, 155/155 nodes assigned, 0 orphans, 152 edges, 5 components
  [GRAPH] 20 branches traced, 133/133 nodes assigned, 0 orphans, 131 edges, 5 components
  [GRAPH] 23 branches traced, 123/123 nodes assigned, 0 orphans, 124 edges, 4 components
  [GRAPH] 34 branches traced, 135/135 nodes assigned, 0 orphans, 138 edges, 5 components
  [GRAPH] 23 branches traced, 127/127 nodes assigned, 0 orphans, 128 edges, 4 components
  [GRAPH] 34 branches traced, 119/119 nodes assigned, 0 orphans, 118 edges, 8 components
  [GRAPH] 18 branches traced, 119/119 nodes assigned, 0 orphans, 118 edges, 4 components
  [GRAPH] 7 branches traced, 60/62 nodes assigned, 2 orphans, 57 edges, 5 components
  [GRAPH] 20 branches traced, 123/123 nodes assigned, 0 orphans, 123 edges, 4 components
  [GRAPH] 3 branches traced, 15/15 nodes assigned, 0 orphans, 12 edges, 3 components
  [GRAPH] 22 branches traced, 116/116 nodes assigned, 0 orphans, 118 edges, 4 components
  [GRAPH] 1 branches traced, 3/3 nodes assigned, 0 orphans, 2 edges, 1 components
  [GRAPH] 14 branches traced, 115/115 nodes assigned, 0 orphans, 113 edges, 4 components
  [GRAPH] 19 branches traced, 120/120 nodes assigned, 0 orphans, 119 edges, 4 components
  [GRAPH] 14 branches traced, 115/115 nodes assigned, 0 orphans, 113 edges, 4 components
  [GRAPH] 8 branches traced, 85/85 nodes assigned, 0 orphans, 83 edges, 3 components
  [GRAPH] 8 branches traced, 64/64 nodes assigned, 0 orphans, 62 edges, 3 components
  [GRAPH] 776 branches traced, 454/454 nodes assigned, 0 orphans, 786 edges, 6 components
  [GRAPH] 1363 branches traced, 797/797 nodes assigned, 0 orphans, 1378 edges, 11 components
  [GRAPH] 1535 branches traced, 905/905 nodes assigned, 0 orphans, 1551 edges, 20 components
  [GRAPH] 11 branches traced, 155/155 nodes assigned, 0 orphans, 153 edges, 4 components
  [GRAPH] 13 branches traced, 132/132 nodes assigned, 0 orphans, 130 edges, 4 components
  [GRAPH] 20 branches traced, 123/123 nodes assigned, 0 orphans, 124 edges, 4 components
  [GRAPH] 14 branches traced, 121/121 nodes assigned, 0 orphans, 119 edges, 4 components
  [GRAPH] 16 branches traced, 128/128 nodes assigned, 0 orphans, 127 edges, 4 components
  [GRAPH] 15 branches traced, 106/107 nodes assigned, 1 orphans, 98 edges, 10 components
  [GRAPH] 11 branches traced, 123/123 nodes assigned, 0 orphans, 120 edges, 4 components
  [GRAPH] 4 branches traced, 56/56 nodes assigned, 0 orphans, 52 edges, 4 components
  [GRAPH] 15 branches traced, 131/131 nodes assigned, 0 orphans, 130 edges, 4 components
  [GRAPH] 1 branches traced, 2/2 nodes assigned, 0 orphans, 1 edges, 1 components
  [GRAPH] 13 branches traced, 122/122 nodes assigned, 0 orphans, 121 edges, 4 components
  [GRAPH] 5 branches traced, 102/102 nodes assigned, 0 orphans, 99 edges, 3 components
  [GRAPH] 12 branches traced, 109/109 nodes assigned, 0 orphans, 108 edges, 3 components
  [GRAPH] 5 branches traced, 102/102 nodes assigned, 0 orphans, 99 edges, 3 components
  [GRAPH] 12 branches traced, 109/109 nodes assigned, 0 orphans, 108 edges, 3 components
  [GRAPH] 4 branches traced, 57/57 nodes assigned, 0 orphans, 55 edges, 2 components
  [GRAPH] 706 branches traced, 411/411 nodes assigned, 0 orphans, 707 edges, 7 components
  [GRAPH] 1138 branches traced, 673/673 nodes assigned, 0 orphans, 1142 edges, 8 components
  [GRAPH] 1371 branches traced, 816/816 nodes assigned, 0 orphans, 1377 edges, 18 components
  [GRAPH] 14 branches traced, 131/131 nodes assigned, 0 orphans, 129 edges, 4 components
  [GRAPH] 14 branches traced, 112/112 nodes assigned, 0 orphans, 110 edges, 4 components
  [GRAPH] 11 branches traced, 103/103 nodes assigned, 0 orphans, 101 edges, 4 components
  [GRAPH] 11 branches traced, 112/112 nodes assigned, 0 orphans, 110 edges, 4 components
  [GRAPH] 9 branches traced, 104/104 nodes assigned, 0 orphans, 101 edges, 4 components
  [GRAPH] 13 branches traced, 83/83 nodes assigned, 0 orphans, 76 edges, 8 components
  [GRAPH] 9 branches traced, 102/102 nodes assigned, 0 orphans, 99 edges, 4 components
  [GRAPH] 6 branches traced, 19/19 nodes assigned, 0 orphans, 19 edges, 1 components
  [GRAPH] 11 branches traced, 111/111 nodes assigned, 0 orphans, 109 edges, 4 components
  [GRAPH] 1 branches traced, 9/9 nodes assigned, 0 orphans, 8 edges, 1 components
  [GRAPH] 11 branches traced, 104/104 nodes assigned, 0 orphans, 102 edges, 4 components
  [GRAPH] 1 branches traced, 5/5 nodes assigned, 0 orphans, 4 edges, 1 components
  [GRAPH] 13 branches traced, 80/80 nodes assigned, 0 orphans, 79 edges, 3 components
  [GRAPH] 13 branches traced, 80/80 nodes assigned, 0 orphans, 79 edges, 3 components
  [GRAPH] 13 branches traced, 101/101 nodes assigned, 0 orphans, 100 edges, 3 components
  [GRAPH] 13 branches traced, 105/105 nodes assigned, 0 orphans, 104 edges, 3 components
