model,stem,arm,L,iou,precision,recall,bytes,n_components,n_components_ref,total_length_px,total_length_px_ref,mean_width_px,mean_width_px_ref,n_branches,n_branches_ref,n_junctions,n_junctions_ref,cycle_rank,cycle_rank_ref,junc_f1_3,end_f1_3
clean_base,7257,GRAPH7,5,0.7937743190661478,0.8914785142024764,0.8786791098348887,178.0,4,4,268.25,287.03657992645924,5.159996431910195,4.96744418524152,7,9,2,3,1,2,0.8,0.625
clean_base,7961,SEG,0,0.8671679197994987,0.8911783644558918,0.9698668535388928,,4,5,303.45079348883235,295.8650070512054,5.3556212434399,5.05789548679378,7,11,2,3,1,0,0.8,0.6666666666666667
clean_base,7961,SEG,5,0.8671679197994987,0.8911783644558918,0.9698668535388928,,4,5,303.45079348883235,293.86500705120545,5.3556212434399,5.045301735696859,7,9,2,2,1,0,1.0,0.7000000000000001
clean_base,7961,GRAPH7,0,0.8671679197994987,0.8911783644558918,0.9698668535388928,178.0,4,5,303.25,295.8650070512054,5.334303484919876,5.05789548679378,7,11,2,3,1,0,0.8,0.6666666666666667
clean_base,7961,GRAPH7,5,0.8671679197994987,0.8911783644558918,0.9698668535388928,178.0,4,5,303.25,293.86500705120545,5.334303484919876,5.045301735696859,7,9,2,2,1,0,1.0,0.7000000000000001
clean_base,7737,SEG,0,0.8361538461538461,0.8744971842316975,0.9501748251748252,,4,4,208.7523086789974,227.4091629284897,5.8887451750978785,5.139248726091212,6,10,1,3,0,0,0.5,0.7999999999999999
clean_base,7737,SEG,5,0.8361538461538461,0.8744971842316975,0.9501748251748252,,4,4,208.7523086789974,222.58073580374355,5.8887451750978785,5.18565528746023,6,8,1,2,0,0,0.6666666666666666,0.8421052631578948
clean_base,7737,GRAPH7,0,0.8361538461538461,0.8744971842316975,0.9501748251748252,148.0,4,4,209.0,227.4091629284897,5.830285231208666,5.139248726091212,6,10,1,3,0,0,0.5,0.7999999999999999
clean_base,7737,GRAPH7,5,0.8361538461538461,0.8744971842316975,0.9501748251748252,148.0,4,4,209.0,222.58073580374355,5.830285231208666,5.18565528746023,6,8,1,2,0,0,0.6666666666666666,0.8421052631578948
clean_base,7951,SEG,0,0.844019728729963,0.9096345514950166,0.9212651413189771,,5,5,246.0365799264593,274.5929291125633,6.004430454188601,5.506463948432962,11,14,3,5,0,1,0.25,0.7692307692307693
clean_base,7951,SEG,5,0.844019728729963,0.9096345514950166,0.9212651413189771,,5,5,238.2081528017131,268.17871555019025,5.985336816531373,5.453164546589604,9,10,2,3,0,1,0.4,0.7826086956521738
clean_base,7951,GRAPH7,0,0.844019728729963,0.9096345514950166,0.9212651413189771,187.0,5,5,246.25,274.5929291125633,6.034746930649038,5.506463948432962,11,14,3,5,0,1,0.25,0.7692307692307693
clean_base,7951,GRAPH7,5,0.844019728729963,0.9096345514950166,0.9212651413189771,187.0,5,5,238.25,268.17871555019025,6.007057425697064,5.453164546589604,9,10,2,3,0,1,0.4,0.7826086956521738
clean_base,7465,SEG,0,0.8231382978723404,0.9204460966542751,0.886184681460272,,4,4,227.58073580374355,243.8233764908628,5.911902220358735,5.866728241479897,7,8,2,2,1,0,0.5,0.5555555555555556
clean_base,7465,SEG,5,0.8231382978723404,0.9204460966542751,0.886184681460272,,4,4,227.58073580374355,236.9949493661166,5.911902220358735,5.901542020323654,7,6,2,1,1,0,0.6666666666666666,0.7058823529411765
clean_base,7465,GRAPH7,0,0.8231382978723404,0.9204460966542751,0.886184681460272,162.0,4,4,227.75,243.8233764908628,5.964730490616874,5.866728241479897,7,8,2,2,1,0,0.5,0.5555555555555556
clean_base,7465,GRAPH7,5,0.8231382978723404,0.9204460966542751,0.886184681460272,162.0,4,4,227.75,236.9949493661166,5.964730490616874,5.901542020323654,7,6,2,1,1,0,0.6666666666666666,0.7058823529411765
clean_base,7606,SEG,0,0.9120258272800645,0.9424520433694745,0.9658119658119658,,4,4,247.76450198781706,250.59292911256327,4.9467144501987645,4.8464052977574115,6,6,1,1,0,0,1.0,0.8888888888888888
clean_base,7606,SEG,5,0.9120258272800645,0.9424520433694745,0.9658119658119658,,4,4,247.76450198781706,250.59292911256327,4.9467144501987645,4.8464052977574115,6,6,1,1,0,0,1.0,0.8888888888888888
clean_base,7606,GRAPH7,0,0.9120258272800645,0.9424520433694745,0.9658119658119658,156.0,4,4,247.75000000000003,250.59292911256327,4.915896930447334,4.8464052977574115,6,6,1,1,0,0,1.0,0.8888888888888888
