dataset,group,id,arm,L,bytes,structure_bytes,n_components,total_length_px,mean_width_px,n_branches,n_junctions,cycle_rank,n_junction_nodes,n_endpoints,n_isolated_cycles,junc_f1
UIT,UIT_12,UIT_12_y256x768,JPEG,5,6263.0,562,11,928.494516090228,7.558046662487774,40,15,1,21,41,0,0.6
UIT,UIT_12,UIT_12_y256x768,JPEG,auto,6263.0,562,10,909.1808075912433,7.571546284407732,37,14,1,21,41,0,0.5789473684210527
UIT,UIT_12,UIT_12_y0x512,REF,5,,894,20,1359.2123368838193,7.31491785475657,62,23,4,27,59,0,1.0
UIT,UIT_12,UIT_12_y0x512,REF,auto,,894,14,1334.8986283848344,7.349095142393789,54,22,4,27,59,0,1.0
UIT,UIT_12,UIT_12_y0x512,SEG,5,,894,20,1381.5676759431467,7.737363641723338,64,24,5,30,60,0,0.6808510638297872
UIT,UIT_12,UIT_12_y0x512,SEG,auto,,894,15,1341.9402589451774,7.749584833088762,54,22,5,30,60,0,0.6818181818181818
UIT,UIT_12,UIT_12_y0x512,GRAPH7,5,9611.0,894,20,1381.5,7.777913829442903,64,24,5,29,60,0,0.6808510638297872
UIT,UIT_12,UIT_12_y0x512,GRAPH7,auto,9611.0,894,15,1334.25,7.783114511124625,52,21,5,29,60,0,0.6976744186046512
UIT,UIT_12,UIT_12_y0x512,JPEG,5,9552.0,894,20,1377.4966081312812,7.719848371399715,63,24,5,27,57,0,0.6808510638297872
UIT,UIT_12,UIT_12_y0x512,JPEG,auto,9552.0,894,15,1336.111831820431,7.746135246486969,56,23,5,27,57,0,0.711111111111111
UIT,UIT_12,UIT_12_y0x768,REF,5,,286,15,456.50461735799473,7.423804279293171,28,8,3,9,33,0,1.0
UIT,UIT_12,UIT_12_y0x768,REF,auto,,286,12,431.9482681718907,7.43878322568263,23,7,3,9,33,0,1.0
UIT,UIT_12,UIT_12_y0x768,SEG,5,,286,14,366.63455967290594,9.443462316753031,20,3,0,3,31,0,0.36363636363636365
UIT,UIT_12,UIT_12_y0x768,SEG,auto,,286,9,336.90663761154804,9.426401268233404,13,2,0,3,31,0,0.22222222222222224
UIT,UIT_12,UIT_12_y0x768,GRAPH7,5,3005.0,286,14,367.25,9.46659509089339,20,3,0,3,31,0,0.36363636363636365
UIT,UIT_12,UIT_12_y0x768,GRAPH7,auto,3005.0,286,9,337.25,9.457666904830583,13,2,0,3,31,0,0.22222222222222224
UIT,UIT_12,UIT_12_y0x768,JPEG,5,2882.0,286,14,338.8355697996826,9.261424348812774,20,3,0,4,32,0,0.18181818181818182
UIT,UIT_12,UIT_12_y0x768,JPEG,auto,2882.0,286,10,317.35028842544403,9.272478534815585,16,3,0,4,32,0,0.2
UIT,UIT_12,UIT_12_y512x512,REF,5,,1232,30,2036.0794359760778,6.675648567091015,97,37,10,46,86,0,1.0
UIT,UIT_12,UIT_12_y512x512,REF,auto,,1232,25,2012.7657274770927,6.685744542048114,90,36,10,46,86,0,1.0
UIT,UIT_12,UIT_12_y512x512,SEG,5,,1232,25,2093.665222413704,7.241261246752813,88,35,7,41,77,0,0.6944444444444444
UIT,UIT_12,UIT_12_y512x512,SEG,auto,,1232,23,2080.594154601839,7.259093211035804,84,34,7,41,77,0,0.7142857142857144
UIT,UIT_12,UIT_12_y512x512,GRAPH7,5,13091.0,1232,25,2094.5,7.257102489831588,88,35,7,41,77,0,0.6944444444444444
UIT,UIT_12,UIT_12_y512x512,GRAPH7,auto,13091.0,1232,23,2081.5,7.274049894087559,84,34,7,41,77,0,0.7142857142857144
UIT,UIT_12,UIT_12_y512x512,JPEG,5,12880.0,1232,26,2049.0794359760775,7.310068895017604,89,35,7,41,79,0,0.6944444444444444
UIT,UIT_12,UIT_12_y512x512,JPEG,auto,12880.0,1232,22,2019.5230867899736,7.3165054098067195,79,32,7,41,79,0,0.7058823529411765
UIT,UIT_12,UIT_12_y512x768,REF,5,,574,17,1019.4062043356595,7.265770331610392,42,14,3,21,49,0,1.0
UIT,UIT_12,UIT_12_y512x768,REF,auto,,574,13,989.6782822743015,7.27561777407687,34,12,3,21,49,0,1.0
UIT,UIT_12,UIT_12_y512x768,SEG,5,,574,16,942.9797974644666,7.650484751231139,38,12,2,13,41,0,0.7692307692307692
UIT,UIT_12,UIT_12_y512x768,SEG,auto,,574,12,918.080302527855,7.617203287977188,30,10,2,13,41,0,0.8181818181818182
UIT,UIT_12,UIT_12_y512x768,GRAPH7,5,7154.0,574,16,943.75,7.632400493362272,38,12,2,13,41,0,0.7692307692307692
UIT,UIT_12,UIT_12_y512x768,GRAPH7,auto,7154.0,574,12,918.75,7.600272237861696,30,10,2,13,41,0,0.8181818181818182
UIT,UIT_12,UIT_12_y512x768,JPEG,5,6918.0,574,16,930.1513703397205,7.5838801084237994,38,12,2,13,41,0,0.7692307692307692
UIT,UIT_12,UIT_12_y512x768,JPEG,auto,6918.0,574,12,904.8376618407356,7.544915817452022,28,9,2,13,41,0,0.761904761904762
UIT,UIT_20,UIT_20_y512x0,REF,5,,466,13,907.1463197058371,7.905356358951687,38,14,3,15,35,0,1.0
UIT,UIT_20,UIT_20_y512x0,REF,auto,,466,10,874.8326112068523,7.92734600286603,29,11,3,15,35,0,1.0
